job_id,job_link,last_processed_time,job_title,company,City,State,job_classification,job_keyword,seniority_level,seniority_level_keyword,title_id,keyword_id
1,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3804053819,2024-01-21 08:08:48.031964+0000,Senior Machine Learning Engineer,Jobs for Humanity,New Haven,CT,Machine Learning Engineer,Machine Learning Engineer,Senior-Level,Senior,1,1
2,https://www.linkedin.com/jobs/view/principal-software-engineer-ml-accelerators-at-aurora-3703455068,2024-01-20 04:02:12.331406+0000,"Principal Software Engineer, ML Accelerators",Aurora,San Francisco,CA,Software & Platform Engineering,Software Engineer,Principal / Staff-Level,Principal,2,2
3,https://www.linkedin.com/jobs/view/senior-etl-data-warehouse-specialist-at-adame-services-llc-3765023888,2024-01-21 08:08:31.941595+0000,Senior ETL Data Warehouse Specialist,Adame Services LLC,New York,NY,Data Modeling & Warehousing,Data Warehouse,Senior-Level,Senior,3,3
4,https://www.linkedin.com/jobs/view/senior-data-warehouse-developer-architect-at-morph-enterprise-3794602483,2024-01-20 15:30:55.796572+0000,Senior Data Warehouse Developer / Architect,Morph Enterprise,Harrisburg,PA,Data Modeling & Warehousing,Data Warehouse,Senior-Level,Senior,3,3
5,https://www.linkedin.com/jobs/view/lead-data-engineer-at-dice-3805948138,2024-01-21 08:08:58.312124+0000,Lead Data Engineer,Dice,Plano,TX,Data Engineer,Lead Data Engineer,Lead,Lead,4,4
6,https://www.linkedin.com/jobs/view/senior-data-engineer-at-university-of-chicago-3798206502,2024-01-21 07:14:11.378097+0000,Senior Data Engineer,University of Chicago,Chicago,IL,Data Engineer,Senior Data Engineer,Senior-Level,Senior,4,5
7,https://www.linkedin.com/jobs/view/principal-associate-data-loss-prevention-dlp-engineer-at-jobs-for-humanity-3789001363,2024-01-21 07:39:58.478064+0000,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Scranton,PA,Risk & Compliance Analytics,Data Loss Prevention,Principal / Staff-Level,Principal,5,6
8,https://www.linkedin.com/jobs/view/senior-financial-data-analyst-at-the-walt-disney-company-3787686471,2024-01-21 07:14:50.991803+0000,Senior Financial Data Analyst,The Walt Disney Company,Lake Buena Vista,FL,Data Analyst,Financial Data Analyst,Senior-Level,Senior,6,7
9,https://www.linkedin.com/jobs/view/machine-learning-infrastructure-engineer-at-l-t-technology-services-3784021144,2024-01-21 07:40:40.017291+0000,Machine Learning Infrastructure Engineer,L&T Technology Services,Sunnyvale,CA,MLOps Engineer,Machine Learning Infrastructure Engineer,Mid-Level,unclassified,7,8
10,https://www.linkedin.com/jobs/view/sr-workforce-management-data-analyst-at-wisemen-multimedia-llc-3756883410,2024-01-21 07:15:01.601597+0000,Sr. Workforce Management Data Analyst,"Wisemen Multimedia, LLC",Atlanta,GA,Data Analyst,Data Analyst,Senior-Level,Sr,6,9
11,https://www.linkedin.com/jobs/view/master-data-management-data-process-analyst-at-opentext-3737391805,2024-01-20 07:01:01.408401+0000,Master Data Management - Data/Process Analyst,OpenText,Pasadena,CA,Data Governance & Security,Master Data Management,Principal / Staff-Level,Master,8,10
12,https://www.linkedin.com/jobs/view/sr-database-administrator-at-dice-3805944749,2024-01-21 07:45:17.879848+0000,Sr. Database Administrator,Dice,Yorba Linda,CA,Database Engineer / Administrator,Database,Senior-Level,Sr,9,11
13,https://www.linkedin.com/jobs/view/senior-mlops-engineer-at-recruiting-from-scratch-3783324565,2024-01-21 07:24:26.424951+0000,Senior MLOps Engineer,Recruiting from Scratch,Atlanta,GA,MLOps Engineer,Mlops,Senior-Level,Senior,7,12
14,https://www.linkedin.com/jobs/view/it-database-developer-senior-dba-admin-at-experis-3770918380,2024-01-21 07:34:56.031534+0000,IT Database Developer Senior - DBA Admin,Experis,Minneapolis,MN,Database Engineer / Administrator,Database,Senior-Level,Senior,9,11
15,https://www.linkedin.com/jobs/view/data-engineering-architect-at-dice-3805941847,2024-01-21 07:16:40.642374+0000,Data Engineering Architect,Dice,Greenwood Village,CO,Data Engineer,Data Engineering,Mid-Level,unclassified,4,13
16,https://www.linkedin.com/jobs/view/staff-data-engineer-fleet-analytics-at-tesla-3737835058,2024-01-21 08:26:02.998031+0000,"Staff Data Engineer, Fleet Analytics",Tesla,Palo Alto,CA,Data Engineer,Data Engineer,Principal / Staff-Level,Staff,4,14
17,https://www.linkedin.com/jobs/view/senior-data-engineer-public-company-at-recruiting-from-scratch-3744399380,2024-01-21 07:16:42.800244+0000,"Senior Data Engineer, Public Company",Recruiting from Scratch,St Louis,MO,Data Engineer,Senior Data Engineer,Senior-Level,Senior,4,5
18,https://www.linkedin.com/jobs/view/it-data-lifecycle-manager-at-labella-associates-3745903864,2024-01-21 07:55:49.287211+0000,IT- Data Lifecycle Manager,LaBella Associates,Albany,NY,Data Governance & Security,Data Lifecycle Manager,Lead,Manager,8,15
19,https://www.linkedin.com/jobs/view/lead-software-engineer-full-stack-enterprise-data-at-jobs-for-humanity-3788699165,2024-01-21 07:55:55.3622+0000,"Lead Software Engineer, Full Stack (Enterprise Data)",Jobs for Humanity,Fredericksburg,VA,Software & Platform Engineering,Software Engineer,Lead,Lead,2,2
20,https://www.linkedin.com/jobs/view/vcp-design-to-value-project-manager-and-data-analyst-mr-at-ge-healthcare-3804602326,2024-01-21 08:02:01.538039+0000,VCP Design to Value Project Manager and Data Analyst-MR,GE HealthCare,Waukesha,WI,Data Analyst,Data Analyst,Lead,Manager,6,9
21,https://www.linkedin.com/jobs/view/lead-data-engineer-python-java-or-scala-at-dice-3805947503,2024-01-21 07:41:50.858481+0000,"Lead Data Engineer, (Python, Java or Scala)",Dice,Philadelphia,PA,Data Engineer,Lead Data Engineer,Lead,Lead,4,4
22,https://www.linkedin.com/jobs/view/data-scientist-at-futran-solutions-3713035221,2024-01-19 16:29:08.256242+0000,Data Scientist,Futran Solutions,Dallas,TX,Data Scientist,Data Scientist,Mid-Level,unclassified,10,16
23,https://www.linkedin.com/jobs/view/data-visualization-business-intelligence-analyst-3019-at-smx-3760167341,2024-01-20 12:38:52.431568+0000,Data Visualization / Business Intelligence Analyst (3019),SMX,Port Hueneme,CA,Data Analyst,Business Intelligence,Mid-Level,unclassified,6,17
24,https://www.linkedin.com/jobs/view/principal-associate-data-loss-prevention-dlp-engineer-at-jobs-for-humanity-3792318995,2024-01-21 08:09:51.272364+0000,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Paris,TX,Risk & Compliance Analytics,Data Loss Prevention,Principal / Staff-Level,Principal,5,6
25,https://www.linkedin.com/jobs/view/senior-data-architect-at-uk-health-security-agency-3799458004,2024-01-21 08:21:36.050554+0000,Senior Data Architect,UK Health Security Agency,National,MD,Data Architect,Senior Data Architect,Senior-Level,Senior,11,18
26,https://www.linkedin.com/jobs/view/senior-data-engineer-public-company-at-recruiting-from-scratch-3744387832,2024-01-21 07:18:19.517109+0000,"Senior Data Engineer, Public Company",Recruiting from Scratch,West Lafayette,IN,Data Engineer,Senior Data Engineer,Senior-Level,Senior,4,5
27,https://www.linkedin.com/jobs/view/senior-ml-engineer-at-cybercoders-3789459946,2024-01-21 08:21:12.395155+0000,Senior ML Engineer,CyberCoders,Santa Clara,CA,Machine Learning Engineer,Ml Engineer,Senior-Level,Senior,1,19
28,https://www.linkedin.com/jobs/view/director-ontology-and-data-modeling-at-jobs-for-humanity-3804059234,2024-01-21 07:18:55.689562+0000,"Director, Ontology and Data Modeling",Jobs for Humanity,Richmond,VA,Data Modeling & Warehousing,Data Modeling,Director / Executive,Director,3,20
29,https://www.linkedin.com/jobs/view/sr-data-engineer-etl-with-security-clearance-at-clearancejobs-3753445788,2024-01-21 07:18:40.974485+0000,Sr. Data Engineer - ETL with Security Clearance,ClearanceJobs,Chantilly,VA,Data Engineer,Data Engineer,Senior-Level,Sr,4,14
30,https://www.linkedin.com/jobs/view/staff-data-scientist-financial-strategy-at-stripe-3785926208,2024-01-21 08:05:39.24823+0000,"Staff Data Scientist, Financial Strategy",Stripe,Seattle,WA,Data Scientist,Data Scientist,Principal / Staff-Level,Staff,10,16
31,https://www.linkedin.com/jobs/view/senior-counsel-data-privacy-and-cybersecurity-at-professional-diversity-network-3805988239,2024-01-21 07:19:30.657312+0000,"Senior Counsel, Data Privacy and Cybersecurity",Professional Diversity Network,Cypress,CA,Data Governance & Security,Data Privacy,Senior-Level,Senior,8,21
32,https://www.linkedin.com/jobs/view/data-engineering-manager-san-antonio-at-argo-group-3805541206,2024-01-21 08:06:54.741975+0000,Data Engineering Manager - San Antonio,Argo Group,San Antonio,TX,Data Engineer,Data Engineering,Lead,Manager,4,13
33,https://www.linkedin.com/jobs/view/data-operations-manager-at-tredence-inc-3791290794,2024-01-21 08:07:09.982925+0000,Data Operations Manager,Tredence Inc.,St Louis,MO,Data Operations & Management,Data Operations,Lead,Manager,12,22
34,https://www.linkedin.com/jobs/view/configuration-and-cdrl-data-manager-ii-iii-top-secret-at-aegis-aerospace-inc-3795651982,2024-01-21 08:07:26.3029+0000,Configuration and CDRL Data Manager II/III (Top Secret),Aegis Aerospace Inc.,San Antonio,TX,Data Operations & Management,Data Manager,Lead,Manager,12,23
35,https://www.linkedin.com/jobs/view/sr-data-engineer-at-experfy-3633149722,2024-01-21 07:03:42.344239+0000,Sr. Data Engineer,Experfy,Houston,TX,Data Engineer,Data Engineer,Senior-Level,Sr,4,14
36,https://www.linkedin.com/jobs/view/sr-ml-engineering-manager-firefly-app-integrations-at-adobe-3781391423,2024-01-19 23:01:36.985902+0000,"Sr ML Engineering Manager , Firefly App Integrations",Adobe,San Jose,CA,Machine Learning Engineer,Ml Engineering,Lead,Manager,1,24
37,https://www.linkedin.com/jobs/view/data-warehouse-analyst-at-elevance-health-3784003227,2024-01-21 07:05:14.862343+0000,Data Warehouse Analyst,Elevance Health,Arlington,VA,Data Modeling & Warehousing,Data Warehouse,Senior-Level,unclassified,3,3
38,https://www.linkedin.com/jobs/view/data-manager-at-yale-university-3584813555,2024-01-19 22:19:27.221056+0000,Data Manager,Yale University,New Haven,CT,Data Operations & Management,Data Manager,Lead,Manager,12,23
39,https://www.linkedin.com/jobs/view/data-analyst-at-quantum-world-technologies-inc-3807032427,2024-01-20 04:40:12.553269+0000,Data Analyst,Quantum World Technologies Inc.,Mountain View,CA,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
40,https://www.linkedin.com/jobs/view/sr-data-engineer-hybrid-at-jobs-for-humanity-3804052703,2024-01-20 00:56:15.108078+0000,Sr. Data Engineer (Hybrid),Jobs for Humanity,Paris,TX,Data Engineer,Data Engineer,Senior-Level,Sr,4,14
41,https://www.linkedin.com/jobs/view/supply-chain-data-analyst-at-denso-3806857019,2024-01-20 00:56:45.960069+0000,Supply Chain Data Analyst,DENSO,Maryville,TN,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
42,https://www.linkedin.com/jobs/view/manager-data-loss-prevention-dlp-engineer-symantec-at-jobs-for-humanity-3792322702,2024-01-20 10:03:32.890528+0000,"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",Jobs for Humanity,Joliet,IL,Risk & Compliance Analytics,Data Loss Prevention,Lead,Manager,5,6
43,https://www.linkedin.com/jobs/view/data-steward-research-analysis-spec-sr-at-state-of-minnesota-3799100999,2024-01-20 03:01:35.577633+0000,Data Steward - Research Analysis Spec Sr,State of Minnesota,Alexandria,MN,Data Governance & Security,Data Steward,Senior-Level,Sr,8,25
44,https://www.linkedin.com/jobs/view/data-coordinator-at-cottingham-butler-3727586242,2024-01-21 08:33:55.659375+0000,Data Coordinator,Cottingham & Butler,Pittsburgh,PA,Data Specialist,Data Coordinator,Mid-Level,unclassified,13,26
45,https://www.linkedin.com/jobs/view/senior-manager-machine-learning-engineering-at-clickjobs-io-3806063440,2024-01-21 07:43:51.750033+0000,"Senior Manager, Machine Learning Engineering",ClickJobs.io,Hartford,CT,Machine Learning Engineer,Machine Learning Engineering,Lead,Manager,1,27
46,https://www.linkedin.com/jobs/view/manager-data-loss-prevention-dlp-engineer-symantec-at-jobs-for-humanity-3804055697,2024-01-21 08:35:13.928174+0000,"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",Jobs for Humanity,Fredericksburg,VA,Risk & Compliance Analytics,Data Loss Prevention,Lead,Manager,5,6
47,https://www.linkedin.com/jobs/view/data-engineer-at-jobs-for-humanity-3805386835,2024-01-20 01:37:31.481909+0000,Data Engineer,Jobs for Humanity,Hartford,CT,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
48,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3792356305,2024-01-20 01:38:06.100703+0000,Senior Machine Learning Engineer,Jobs for Humanity,Fredericksburg,VA,Machine Learning Engineer,Machine Learning Engineer,Senior-Level,Senior,1,1
49,https://www.linkedin.com/jobs/view/audit-manager-data-tech-bsa-aml-including-sanctions-at-bank-of-america-3779312963,2024-01-19 21:13:05.515323+0000,Audit Manager - Data/Tech (BSA/AML including Sanctions),Bank of America,Charlotte,NC,Risk & Compliance Analytics,Bsa,Lead,Manager,5,28
50,https://www.linkedin.com/jobs/view/business-data-analyst-iii-701569-at-the-judge-group-3729745801,2024-01-20 01:39:15.473644+0000,Business Data Analyst - III (701569),The Judge Group,Temple Terrace,FL,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
51,https://www.linkedin.com/jobs/view/clinical-data-steward-at-steneral-consulting-3800978594,2024-01-20 00:19:27.777955+0000,Clinical Data Steward,Steneral Consulting,Bloomfield,CT,Data Governance & Security,Data Steward,Mid-Level,unclassified,8,25
52,https://www.linkedin.com/jobs/view/senior-full-stack-machine-learning-engineer-optix-at-ga-ccri-3657308448,2024-01-20 00:19:29.360032+0000,Senior Full-Stack Machine Learning Engineer- OPTIX,GA-CCRi,Charlottesville,VA,Machine Learning Engineer,Machine Learning Engineer,Senior-Level,Senior,1,1
53,https://www.linkedin.com/jobs/view/technical-data-engineering-manager-at-srs-distribution-inc-3776984153,2024-01-21 13:07:44.894683+0000,Technical Data Engineering Manager,SRS Distribution Inc.,McKinney,TX,Data Engineer,Data Engineering,Lead,Manager,4,13
54,https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744395618,2024-01-19 12:20:05.536295+0000,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Cincinnati,OH,Machine Learning Engineer,Machine Learning Engineer,Principal / Staff-Level,Staff,1,1
55,https://www.linkedin.com/jobs/view/principal-associate-data-loss-prevention-dlp-engineer-at-jobs-for-humanity-3804055719,2024-01-19 15:06:17.215246+0000,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Charlottesville,VA,Risk & Compliance Analytics,Data Loss Prevention,Principal / Staff-Level,Principal,5,6
56,https://www.linkedin.com/jobs/view/senior-people-data-scientist-at-atlassian-3782278915,2024-01-21 07:44:03.803359+0000,Senior People Data Scientist,Atlassian,San Francisco,CA,Data Scientist,Data Scientist,Senior-Level,Senior,10,16
57,https://www.linkedin.com/jobs/view/it-data-lifecycle-manager-at-labella-associates-3771472562,2024-01-21 05:32:53.63769+0000,IT- Data Lifecycle Manager,LaBella Associates,Poughkeepsie,NY,Data Governance & Security,Data Lifecycle Manager,Lead,Manager,8,15
58,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3805272306,2024-01-20 02:54:15.002255+0000,Senior Machine Learning Engineer,Jobs for Humanity,Waco,TX,Machine Learning Engineer,Machine Learning Engineer,Senior-Level,Senior,1,1
59,https://www.linkedin.com/jobs/view/senior-battery-data-scientist-at-factorial-energy-3744756670,2024-01-21 07:44:38.675475+0000,Senior Battery Data Scientist,Factorial Energy,Billerica,MA,Data Scientist,Data Scientist,Senior-Level,Senior,10,16
60,https://www.linkedin.com/jobs/view/lead-machine-learning-engineer-bangkok-based-relocation-provided-at-agoda-3800269736,2024-01-21 13:08:11.006528+0000,"Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,Oakland,CA,Machine Learning Engineer,Machine Learning Engineer,Lead,Lead,1,1
61,https://www.linkedin.com/jobs/view/principal-machine-learning-engineer-at-baker-hughes-3686008663,2024-01-21 13:08:32.644712+0000,Principal Machine Learning Engineer,Baker Hughes,Austin,TX,Machine Learning Engineer,Machine Learning Engineer,Principal / Staff-Level,Principal,1,1
62,https://www.linkedin.com/jobs/view/lead-data-scientist-at-infosys-3785765143,2024-01-20 11:19:18.121141+0000,Lead Data Scientist,Infosys,Phoenix,AZ,Data Scientist,Data Scientist,Lead,Lead,10,16
63,https://www.linkedin.com/jobs/view/senior-manager-machine-learning-engineering-at-jobs-for-humanity-3805127744,2024-01-20 04:07:51.084085+0000,"Senior Manager, Machine Learning Engineering",Jobs for Humanity,Harrisonburg,VA,Machine Learning Engineer,Machine Learning Engineering,Lead,Manager,1,27
64,https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744399238,2024-01-21 01:46:19.88287+0000,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Boston,MA,Machine Learning Engineer,Machine Learning Engineer,Principal / Staff-Level,Staff,1,1
65,https://www.linkedin.com/jobs/view/database-engineer-at-pierce-3640165260,2024-01-21 08:10:46.483205+0000,Database Engineer,Pierce,Melbourne,FL,Database Engineer / Administrator,Database,Entry-Level / Junior,unclassified,9,11
66,https://www.linkedin.com/jobs/view/enrollment-management-crm-data-specialist-at-harris-stowe-state-university-3799625645,2024-01-19 23:44:58.293806+0000,Enrollment Management CRM & Data Specialist,Harris-Stowe State University,St Louis,MO,Data Specialist,Data Specialist,Senior-Level,Specialist,13,29
67,https://www.linkedin.com/jobs/view/azure-data-architect-at-veear-projects-inc-3719535607,2024-01-20 03:09:05.515682+0000,Azure Data Architect,VeeAR Projects Inc.,Sacramento,CA,Data Architect,Data Architect,Senior-Level,unclassified,11,30
68,https://www.linkedin.com/jobs/view/senior-marketing-data-operations-specialist-at-baker-tilly-us-3786111965,2024-01-20 03:19:04.966465+0000,Senior Marketing Data Operations Specialist,Baker Tilly US,Houston,TX,Data Operations & Management,Data Operations,Senior-Level,Senior,12,22
69,https://www.linkedin.com/jobs/view/clinical-data-analyst-coordinator-at-lvis-3807211371,2024-01-20 03:19:13.697642+0000,Clinical Data Analyst/Coordinator,LVIS,Palo Alto,CA,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
70,https://www.linkedin.com/jobs/view/manager-data-engineering-at-paramount%2B-3801126064,2024-01-21 03:43:23.106683+0000,"Manager, Data Engineering",Paramount+,Fort Lauderdale,FL,Data Engineer,Data Engineering,Lead,Manager,4,13
71,https://www.linkedin.com/jobs/view/data-conversion-integration-support-lead-at-stevens-institute-of-technology-3804474900,2024-01-21 08:21:25.82679+0000,Data Conversion & Integration Support Lead,Stevens Institute of Technology,Hoboken,NJ,Data Operations & Management,Data Conversion,Lead,Lead,12,31
72,https://www.linkedin.com/jobs/view/sr-data-scientist-at-mantech-3792954210,2024-01-21 02:10:43.728461+0000,Sr. Data Scientist,ManTech,Sterling,VA,Data Scientist,Data Scientist,Senior-Level,Sr,10,16
